,fkgl,bleu,sari
0,1.8982,0.1796,0.3585
1,1.8997,0.1793,0.3586
2,1.9102,0.181,0.3588
3,1.8982,0.1794,0.3585
4,1.8923,0.1795,0.3586
5,1.8871,0.1794,0.3587
6,1.9005,0.1788,0.3586
7,1.8953,0.1811,0.3589
8,1.8923,0.1784,0.3585
9,1.9027,0.1791,0.3585
10,1.9064,0.1781,0.3584
11,1.8997,0.1798,0.3586
12,1.9109,0.1793,0.3586
13,1.893,0.178,0.3584
14,1.905,0.1808,0.3589
15,1.9139,0.18,0.3586
16,1.9102,0.1792,0.3584
17,1.8938,0.1803,0.3586
18,1.9087,0.1799,0.3586
19,1.8938,0.1802,0.3585
20,1.9005,0.1802,0.3588
21,1.902,0.1807,0.3587
22,1.9005,0.1812,0.3589
23,1.8953,0.1769,0.3582
24,1.9064,0.1792,0.3585
25,1.896,0.1787,0.3584
26,1.9035,0.1799,0.3588
27,1.9094,0.1807,0.3588
28,1.9176,0.1784,0.3583
29,1.8945,0.1789,0.3584
30,1.8923,0.1775,0.3582
31,1.9132,0.1793,0.3583
32,1.9094,0.1799,0.3587
33,1.9064,0.1805,0.3588
34,1.8871,0.1794,0.3585
35,1.8997,0.18,0.3584
36,1.9094,0.1782,0.3586
37,1.8886,0.1786,0.3584
38,1.9042,0.1789,0.3584
39,1.9087,0.1799,0.3586
40,1.9064,0.18,0.3588
41,1.9094,0.1788,0.3585
42,1.8826,0.1793,0.3585
43,1.905,0.1808,0.3588
44,1.8945,0.1788,0.3585
45,1.9057,0.1797,0.3588
46,1.8901,0.1797,0.3587
47,1.8997,0.1777,0.3582
48,1.9094,0.1783,0.3583
49,1.899,0.18,0.3585
50,1.9094,0.1804,0.3588
51,1.8968,0.177,0.3583
52,1.9087,0.1787,0.3584
53,1.9057,0.1795,0.3584
54,1.9042,0.1807,0.3589
55,1.9005,0.1793,0.3584
56,1.893,0.1794,0.3586
57,1.8953,0.1794,0.3585
58,1.9005,0.1804,0.3587
59,1.9087,0.1785,0.3583
60,1.8953,0.178,0.3582
61,1.9244,0.1785,0.3585
62,1.8923,0.1785,0.3586
63,1.8997,0.1781,0.3585
64,1.9087,0.1785,0.3583
65,1.9169,0.1784,0.3585
66,1.9154,0.1796,0.3587
67,1.8975,0.1804,0.3587
68,1.8968,0.1802,0.3585
69,1.8849,0.1786,0.3585
70,1.8938,0.1774,0.3584
71,1.9124,0.179,0.3584
72,1.8953,0.1798,0.3586
73,1.9042,0.1804,0.3587
74,1.8893,0.1786,0.3585
75,1.9035,0.1795,0.3586
76,1.8997,0.1787,0.3584
77,1.9087,0.18,0.3584
78,1.905,0.1796,0.3586
79,1.8923,0.1785,0.3585
80,1.9109,0.181,0.3588
81,1.9064,0.1797,0.3586
82,1.9064,0.1798,0.3589
83,1.8953,0.1792,0.3585
84,1.899,0.1792,0.3585
85,1.893,0.1789,0.3584
86,1.9035,0.1793,0.3587
87,1.9117,0.1803,0.3588
88,1.9064,0.1789,0.3587
89,1.9117,0.1803,0.3587
90,1.9035,0.179,0.3585
91,1.8908,0.1803,0.3588
92,1.9012,0.1795,0.3585
93,1.9124,0.1796,0.3584
94,1.8975,0.1783,0.3584
95,1.9035,0.1812,0.3586
96,1.8886,0.1776,0.3581
97,1.9162,0.1807,0.3586
98,1.9005,0.181,0.3589
99,1.8997,0.1787,0.3585
