,fkgl,bleu,sari
0,4.885,0.2353,0.3629
1,4.8812,0.2344,0.3628
2,4.8766,0.2349,0.3627
3,4.8918,0.23399999999999999,0.3627
4,4.885,0.2344,0.363
5,4.8835,0.2334,0.3627
6,4.8782,0.2347,0.3629
7,4.8782,0.2344,0.3628
8,4.8675,0.2357,0.3628
9,4.8804,0.23399999999999999,0.3627
10,4.8812,0.2352,0.3628
11,4.8903,0.2348,0.3628
12,4.8941,0.2348,0.3628
13,4.885,0.2344,0.3627
14,4.8683,0.2355,0.3629
15,4.8835,0.2342,0.3629
16,4.8918,0.2342,0.3626
17,4.8782,0.2344,0.3626
18,4.882,0.2341,0.3628
19,4.8713,0.2342,0.3628
20,4.8888,0.2347,0.3628
21,4.8751,0.2337,0.3626
22,4.866,0.2337,0.3627
23,4.8744,0.2343,0.3627
24,4.8903,0.2333,0.3625
25,4.8888,0.2345,0.3628
26,4.8675,0.2358,0.363
27,4.8941,0.2357,0.363
28,4.8941,0.2347,0.3628
29,4.8675,0.23399999999999999,0.3627
30,4.8782,0.2343,0.3628
31,4.8797,0.2345,0.3629
32,4.8911,0.2338,0.3627
33,4.888,0.2354,0.3629
34,4.904,0.2351,0.3628
35,4.8797,0.235,0.3629
36,4.9002,0.2342,0.3626
37,4.8865,0.2343,0.3626
38,4.869,0.2349,0.3629
39,4.8827,0.2341,0.3626
40,4.9048,0.2347,0.3629
41,4.8782,0.2341,0.3627
42,4.8766,0.2345,0.3629
43,4.8911,0.2345,0.3628
44,4.8713,0.23399999999999999,0.3627
45,4.8782,0.2336,0.3626
46,4.8668,0.2325,0.3625
47,4.8934,0.2345,0.3627
48,4.9025,0.2333,0.3626
49,4.8858,0.2354,0.3628
50,4.8774,0.2335,0.3628
51,4.8774,0.23399999999999999,0.3626
52,4.8766,0.2331,0.3627
53,4.8835,0.2335,0.3627
54,4.8873,0.2343,0.3627
55,4.8987,0.2342,0.363
56,4.8728,0.233,0.3628
57,4.8865,0.2341,0.3627
58,4.8797,0.2341,0.3626
59,4.8789,0.2343,0.3627
60,4.888,0.2351,0.3629
61,4.8698,0.23399999999999999,0.3627
62,4.8858,0.2336,0.3627
63,4.8858,0.2338,0.3626
64,4.8713,0.2334,0.3625
65,4.8789,0.2352,0.3628
66,4.888,0.2331,0.3625
67,4.8804,0.2349,0.3629
68,4.8911,0.2342,0.3627
69,4.8972,0.235,0.3628
70,4.8896,0.23399999999999999,0.3626
71,4.8888,0.23399999999999999,0.3627
72,4.8812,0.2343,0.3627
73,4.8896,0.2346,0.3628
74,4.8789,0.2345,0.3627
75,4.8934,0.2345,0.3627
76,4.8774,0.2342,0.3627
77,4.8903,0.2341,0.3627
78,4.8782,0.2344,0.3628
79,4.8949,0.235,0.3628
80,4.8842,0.2343,0.3627
81,4.888,0.2341,0.3624
82,4.8789,0.2345,0.3627
83,4.8766,0.2348,0.3627
84,4.8896,0.2346,0.3627
85,4.8956,0.2328,0.3625
86,4.8736,0.2337,0.3626
87,4.8911,0.2346,0.3628
88,4.8979,0.2344,0.3629
89,4.885,0.2346,0.3627
90,4.8759,0.2346,0.3625
91,4.8842,0.2343,0.3627
92,4.8744,0.2346,0.3627
93,4.8842,0.2347,0.3628
94,4.8941,0.2344,0.3628
95,4.888,0.2352,0.363
96,4.8903,0.2345,0.3628
97,4.8842,0.23399999999999999,0.3627
98,4.8713,0.2353,0.3629
99,4.9002,0.2344,0.3628
