,fkgl,bleu,sari
0,4.5407,0.0967,0.3467
1,4.5063,0.0988,0.3469
2,4.533,0.0942,0.3463
3,4.529,0.0976,0.3468
4,4.522,0.0994,0.3471
5,4.5528,0.098,0.3469
6,4.5244,0.0977,0.3468
7,4.5502,0.0971,0.3471
8,4.5444,0.0984,0.3469
9,4.5209,0.0995,0.3472
10,4.5736,0.0981,0.3469
11,4.5546,0.0981,0.3469
12,4.5578,0.0981,0.3468
13,4.5501,0.0976,0.3469
14,4.537,0.0987,0.347
15,4.5445,0.1011,0.3473
16,4.5297,0.0988,0.3471
17,4.5347,0.0994,0.3471
18,4.5768,0.0981,0.347
19,4.5294,0.0982,0.3471
20,4.5263,0.0986,0.3469
21,4.5851,0.0986,0.347
22,4.5682,0.0964,0.3467
23,4.5318,0.0975,0.3468
24,4.5098,0.0986,0.3471
25,4.5386,0.0966,0.3469
26,4.5487,0.0981,0.347
27,4.5477,0.0985,0.3469
28,4.5219,0.0992,0.3472
29,4.5407,0.0981,0.3469
30,4.5461,0.1004,0.3473
31,4.5341,0.0981,0.347
32,4.5593,0.0987,0.3468
33,4.5381,0.0991,0.3472
34,4.5184,0.0981,0.3469
35,4.5371,0.0983,0.347
36,4.5112,0.0975,0.3469
37,4.5375,0.1002,0.3471
38,4.5321,0.0975,0.3468
39,4.5789,0.0988,0.3469
40,4.5596,0.0957,0.3467
41,4.5338,0.0971,0.3467
42,4.5489,0.0975,0.3469
43,4.5217,0.0976,0.3469
44,4.5323,0.0999,0.347
45,4.5496,0.0981,0.3468
46,4.5302,0.0983,0.3468
47,4.5454,0.0983,0.3469
48,4.5584,0.097,0.3466
49,4.5429,0.0978,0.3468
50,4.5439,0.098,0.3469
51,4.5424,0.0997,0.3472
52,4.5245,0.0986,0.3471
53,4.5384,0.0998,0.3472
54,4.5507,0.0993,0.3471
55,4.5234,0.097,0.347
56,4.5092,0.0989,0.3469
57,4.5771,0.0996,0.3469
58,4.5333,0.099,0.347
59,4.5403,0.098,0.3467
60,4.5395,0.0961,0.3465
61,4.5631,0.0976,0.3467
62,4.5463,0.0982,0.3469
63,4.5424,0.0976,0.3467
64,4.5493,0.0982,0.3468
65,4.5318,0.0986,0.347
66,4.5243,0.0971,0.3466
67,4.5581,0.0974,0.347
68,4.536,0.098,0.3471
69,4.5682,0.0981,0.3469
70,4.5288,0.0974,0.3469
71,4.537,0.0985,0.347
72,4.5664,0.0993,0.347
73,4.5385,0.0956,0.3465
74,4.5727,0.0992,0.3471
75,4.5622,0.0997,0.3472
76,4.5708,0.0988,0.3472
77,4.5804,0.0977,0.3469
78,4.5103,0.0995,0.3472
79,4.5206,0.0983,0.347
80,4.5374,0.099,0.3472
81,4.5508,0.0988,0.347
82,4.5584,0.0983,0.347
83,4.5557,0.0988,0.347
84,4.5389,0.0997,0.3473
85,4.5424,0.0967,0.3466
86,4.5442,0.0992,0.3469
87,4.5647,0.0956,0.3465
88,4.5383,0.0989,0.3471
89,4.5632,0.0976,0.3469
90,4.5273,0.0966,0.3466
91,4.572,0.0989,0.3469
92,4.5466,0.0967,0.3467
93,4.5642,0.098,0.3471
94,4.5641,0.0992,0.3471
95,4.536,0.0983,0.3471
96,4.5604,0.0967,0.3467
97,4.514,0.1004,0.3471
98,4.5006,0.1004,0.3474
99,4.5413,0.0983,0.347
