,system,percent,fkgl,bleu,sari,system,percent,fkgl,bleu,sari,system,percent,fkgl,bleu,sari,system,percent,fkgl,bleu,sari,system,percent,fkgl,bleu,sari,system,percent,fkgl,bleu,sari
0,PBMT-R,10,6.760352000000001,0.17512899999999998,0.15923800000000005,PBMT-R,10,7.920798999999999,0.17517700000000003,0.15910900000000003,PBMT-R,10,7.425209999999997,0.17545200000000008,0.16059200000000012,PBMT-R,10,6.594238000000001,0.17362500000000008,0.16179600000000005,PBMT-R,10,6.786938000000001,0.17509700000000003,0.16039499999999993,PBMT-R,10,7.890115000000001,0.17526200000000003,0.16039199999999998
1,PBMT-R,20,6.317240000000001,0.17297199999999993,0.160746,PBMT-R,20,7.857846,0.17321000000000006,0.1606070000000001,PBMT-R,20,7.2533530000000015,0.17367100000000005,0.16347299999999998,PBMT-R,20,5.986886000000002,0.169959,0.16592099999999996,PBMT-R,20,6.322401000000003,0.17315599999999998,0.16316099999999994,PBMT-R,20,7.850559999999998,0.17327099999999998,0.163158
2,PBMT-R,30,5.484170999999996,0.17092200000000002,0.16235899999999998,PBMT-R,30,7.795378,0.17123399999999997,0.162103,PBMT-R,30,7.082623000000001,0.17184400000000008,0.16638399999999998,PBMT-R,30,4.985376000000001,0.16646600000000003,0.1700110000000001,PBMT-R,30,5.491675999999997,0.17099800000000007,0.16597300000000006,PBMT-R,30,7.783517999999999,0.17123400000000003,0.16578900000000008
3,PBMT-R,40,5.041844999999999,0.16885899999999998,0.16387900000000005,PBMT-R,40,7.7338689999999986,0.1692730000000001,0.16351900000000008,PBMT-R,40,6.913284999999999,0.16997199999999998,0.16917300000000005,PBMT-R,40,4.384364999999999,0.16301900000000002,0.17395500000000005,PBMT-R,40,5.049631000000002,0.16915499999999994,0.16862200000000002,PBMT-R,40,7.717775,0.16938499999999998,0.168538
4,PBMT-R,50,4.598504000000002,0.16690199999999997,0.165366,PBMT-R,50,7.672555999999999,0.16744600000000007,0.164979,PBMT-R,50,6.743194999999999,0.16826299999999997,0.1720080000000001,PBMT-R,50,3.7776189999999996,0.15934500000000004,0.17785100000000006,PBMT-R,50,4.6113639999999965,0.16720999999999997,0.17125900000000002,PBMT-R,50,7.649383999999999,0.16753600000000002,0.17122199999999996
5,PBMT-R,60,4.1575,0.16486699999999999,0.1669029999999999,PBMT-R,60,7.611576999999999,0.1653170000000001,0.16643399999999997,PBMT-R,60,6.573071000000003,0.16641399999999998,0.17483100000000001,PBMT-R,60,3.174861000000001,0.15577999999999995,0.18171199999999998,PBMT-R,60,4.170086999999999,0.16518000000000008,0.17399599999999998,PBMT-R,60,7.607819000000001,0.16539699999999996,0.17370000000000002
6,PBMT-R,70,3.7166859999999993,0.16273800000000005,0.16844400000000004,PBMT-R,70,7.551502999999996,0.16349800000000003,0.167804,PBMT-R,70,6.402976999999998,0.16464700000000004,0.177555,PBMT-R,70,2.5734849999999994,0.15249600000000002,0.18552100000000007,PBMT-R,70,3.7303960000000007,0.16316000000000005,0.176497,PBMT-R,70,7.606359999999999,0.16353199999999998,0.176322
7,PBMT-R,80,3.6656229999999987,0.16071899999999995,0.16989300000000004,PBMT-R,80,7.491743999999998,0.16163699999999995,0.1692949999999999,PBMT-R,80,6.230852,0.16286399999999993,0.1803479999999999,PBMT-R,80,2.366404999999999,0.14886400000000002,0.18917499999999993,PBMT-R,80,3.56396,0.16090899999999997,0.179057,PBMT-R,80,7.747201999999999,0.16132799999999997,0.17890600000000004
8,PBMT-R,90,3.2256209999999985,0.15870399999999996,0.17137299999999997,PBMT-R,90,7.4323330000000025,0.15965100000000002,0.17064500000000002,PBMT-R,90,6.061795000000002,0.16111100000000003,0.1830189999999999,PBMT-R,90,1.765411,0.14534200000000008,0.1927859999999999,PBMT-R,90,3.2361890000000004,0.15881799999999993,0.18163899999999994,PBMT-R,90,7.7349950000000005,0.159439,0.181506
9,PBMT-R,100,2.7834810000000014,0.156785,0.172806,PBMT-R,100,7.373508000000002,0.15786,0.1720320000000001,PBMT-R,100,5.890800000000009,0.1592000000000002,0.1857000000000003,PBMT-R,100,1.1676809999999997,0.14177300000000007,0.19650200000000012,PBMT-R,100,2.792599,0.15688299999999994,0.18417700000000004,PBMT-R,100,7.695229000000003,0.15753800000000007,0.18394000000000002
